Compound,Date,Negative,Neutral,Positive,Tweets Ago
0.0,Sat Feb 03 07:20:45 +0000 2018,0.0,1.0,0.0,78
-0.5106,Sat Feb 03 07:20:38 +0000 2018,0.136,0.864,0.0,79
0.69,Sat Feb 03 07:20:33 +0000 2018,0.0,0.787,0.213,80
-0.8402,Sat Feb 03 07:18:22 +0000 2018,0.357,0.643,0.0,81
-0.8402,Sat Feb 03 07:18:18 +0000 2018,0.357,0.643,0.0,82
-0.8402,Sat Feb 03 07:17:30 +0000 2018,0.303,0.697,0.0,83
-0.8402,Sat Feb 03 07:17:26 +0000 2018,0.357,0.643,0.0,84
-0.5106,Sat Feb 03 07:16:04 +0000 2018,0.136,0.864,0.0,85
-0.5106,Sat Feb 03 07:15:54 +0000 2018,0.136,0.864,0.0,86
-0.8402,Sat Feb 03 07:14:50 +0000 2018,0.357,0.643,0.0,87
0.0,Sat Feb 03 07:14:45 +0000 2018,0.0,1.0,0.0,88
-0.5106,Sat Feb 03 07:14:25 +0000 2018,0.136,0.864,0.0,89
-0.8402,Sat Feb 03 07:14:25 +0000 2018,0.303,0.697,0.0,90
-0.8402,Sat Feb 03 07:14:10 +0000 2018,0.303,0.697,0.0,91
0.1867,Sat Feb 03 07:14:01 +0000 2018,0.0,0.93,0.07,92
-0.8402,Sat Feb 03 07:13:53 +0000 2018,0.357,0.643,0.0,93
-0.5106,Sat Feb 03 07:13:36 +0000 2018,0.136,0.864,0.0,94
0.0772,Sat Feb 03 07:13:36 +0000 2018,0.0,0.902,0.098,95
-0.5562,Sat Feb 03 07:13:02 +0000 2018,0.418,0.582,0.0,96
0.0,Sat Feb 03 07:11:28 +0000 2018,0.0,1.0,0.0,97
0.0,Sat Feb 03 07:11:26 +0000 2018,0.0,1.0,0.0,98
0.4019,Sat Feb 03 07:10:52 +0000 2018,0.0,0.87,0.13,99
0.0,Sat Feb 03 07:10:48 +0000 2018,0.0,1.0,0.0,100
-0.296,Sat Feb 03 08:55:46 +0000 2018,0.136,0.864,0.0,101
-0.296,Sat Feb 03 08:53:31 +0000 2018,0.145,0.855,0.0,102
-0.4215,Sat Feb 03 08:53:15 +0000 2018,0.109,0.845,0.046,103
0.6486,Sat Feb 03 08:48:37 +0000 2018,0.0,0.762,0.238,104
0.6486,Sat Feb 03 08:47:51 +0000 2018,0.0,0.762,0.238,105
0.7059,Sat Feb 03 08:43:54 +0000 2018,0.0,0.773,0.227,106
-0.5106,Sat Feb 03 08:43:38 +0000 2018,0.136,0.864,0.0,107
0.6249,Sat Feb 03 08:43:33 +0000 2018,0.0,0.683,0.317,108
0.0,Sat Feb 03 08:42:07 +0000 2018,0.0,1.0,0.0,109
-0.6408,Sat Feb 03 08:38:18 +0000 2018,0.19,0.81,0.0,110
0.3612,Sat Feb 03 08:36:58 +0000 2018,0.0,0.902,0.098,111
0.7059,Sat Feb 03 08:35:44 +0000 2018,0.0,0.754,0.246,112
-0.3071,Sat Feb 03 08:34:03 +0000 2018,0.111,0.889,0.0,113
0.6825,Sat Feb 03 08:33:24 +0000 2018,0.0,0.805,0.195,114
-0.5106,Sat Feb 03 08:33:23 +0000 2018,0.136,0.864,0.0,115
0.3612,Sat Feb 03 08:28:58 +0000 2018,0.0,0.872,0.128,116
0.0,Sat Feb 03 08:28:30 +0000 2018,0.0,1.0,0.0,117
0.0,Sat Feb 03 08:25:21 +0000 2018,0.0,1.0,0.0,118
-0.3725,Sat Feb 03 08:24:21 +0000 2018,0.169,0.721,0.11,119
0.8164,Sat Feb 03 08:24:01 +0000 2018,0.0,0.586,0.414,120
-0.5106,Sat Feb 03 08:20:36 +0000 2018,0.136,0.864,0.0,121
-0.296,Sat Feb 03 08:18:11 +0000 2018,0.104,0.896,0.0,122
0.0,Sat Feb 03 08:15:27 +0000 2018,0.0,1.0,0.0,123
0.0,Sat Feb 03 08:14:28 +0000 2018,0.0,1.0,0.0,124
0.0772,Sat Feb 03 08:13:35 +0000 2018,0.0,0.909,0.091,125
0.0,Sat Feb 03 08:12:44 +0000 2018,0.0,1.0,0.0,126
0.0,Sat Feb 03 08:11:02 +0000 2018,0.0,1.0,0.0,127
0.296,Sat Feb 03 08:08:56 +0000 2018,0.0,0.879,0.121,128
0.0,Sat Feb 03 08:07:09 +0000 2018,0.0,1.0,0.0,129
-0.5106,Sat Feb 03 08:05:47 +0000 2018,0.136,0.864,0.0,130
-0.296,Sat Feb 03 08:03:51 +0000 2018,0.145,0.855,0.0,131
0.0,Sat Feb 03 08:02:30 +0000 2018,0.0,1.0,0.0,132
-0.5106,Sat Feb 03 08:01:50 +0000 2018,0.136,0.864,0.0,133
-0.8402,Sat Feb 03 08:00:41 +0000 2018,0.357,0.643,0.0,134
0.0,Sat Feb 03 07:58:57 +0000 2018,0.0,1.0,0.0,135
0.0,Sat Feb 03 07:58:23 +0000 2018,0.0,1.0,0.0,136
0.0,Sat Feb 03 07:58:16 +0000 2018,0.0,1.0,0.0,137
0.0,Sat Feb 03 07:56:27 +0000 2018,0.0,1.0,0.0,138
