Compound,Date,Negative,Neutral,Positive,Tweets Ago
0.296,Sat Feb 03 09:03:58 +0000 2018,0.094,0.769,0.136,78
-0.128,Sat Feb 03 09:03:21 +0000 2018,0.124,0.772,0.104,79
-0.296,Sat Feb 03 09:03:12 +0000 2018,0.095,0.905,0.0,80
0.0,Sat Feb 03 09:03:02 +0000 2018,0.0,1.0,0.0,81
0.296,Sat Feb 03 09:02:58 +0000 2018,0.094,0.769,0.136,82
-0.25,Sat Feb 03 09:02:41 +0000 2018,0.083,0.917,0.0,83
-0.128,Sat Feb 03 09:01:44 +0000 2018,0.124,0.772,0.104,84
-0.3612,Sat Feb 03 09:01:42 +0000 2018,0.226,0.774,0.0,85
0.8442,Sat Feb 03 09:01:27 +0000 2018,0.0,0.569,0.431,86
0.296,Sat Feb 03 09:01:20 +0000 2018,0.094,0.769,0.136,87
-0.4767,Sat Feb 03 09:01:05 +0000 2018,0.194,0.806,0.0,88
0.4404,Sat Feb 03 09:00:51 +0000 2018,0.0,0.828,0.172,89
-0.128,Sat Feb 03 09:00:47 +0000 2018,0.124,0.772,0.104,90
0.0,Sat Feb 03 09:00:25 +0000 2018,0.0,1.0,0.0,91
0.3818,Sat Feb 03 09:00:07 +0000 2018,0.0,0.833,0.167,92
-0.296,Sat Feb 03 09:00:04 +0000 2018,0.095,0.905,0.0,93
-0.4767,Sat Feb 03 08:59:50 +0000 2018,0.215,0.785,0.0,94
-0.34,Sat Feb 03 08:59:37 +0000 2018,0.13,0.87,0.0,95
0.8217,Sat Feb 03 08:58:35 +0000 2018,0.0,0.543,0.457,96
-0.296,Sat Feb 03 08:58:29 +0000 2018,0.095,0.905,0.0,97
0.0,Sat Feb 03 08:58:19 +0000 2018,0.0,1.0,0.0,98
0.6249,Sat Feb 03 08:58:08 +0000 2018,0.0,0.797,0.203,99
0.5574,Sat Feb 03 08:57:57 +0000 2018,0.0,0.816,0.184,100
-0.3818,Sat Feb 03 09:18:45 +0000 2018,0.178,0.822,0.0,101
-0.296,Sat Feb 03 09:18:39 +0000 2018,0.095,0.905,0.0,102
-0.5994,Sat Feb 03 09:18:21 +0000 2018,0.189,0.811,0.0,103
-0.296,Sat Feb 03 09:18:15 +0000 2018,0.355,0.645,0.0,104
-0.5267,Sat Feb 03 09:18:05 +0000 2018,0.173,0.827,0.0,105
-0.5267,Sat Feb 03 09:17:42 +0000 2018,0.175,0.825,0.0,106
-0.3182,Sat Feb 03 09:17:38 +0000 2018,0.119,0.881,0.0,107
0.0516,Sat Feb 03 09:17:37 +0000 2018,0.151,0.69,0.159,108
0.0,Sat Feb 03 09:16:45 +0000 2018,0.0,1.0,0.0,109
0.4574,Sat Feb 03 09:16:38 +0000 2018,0.0,0.813,0.187,110
0.3612,Sat Feb 03 09:16:02 +0000 2018,0.0,0.884,0.116,111
-0.3182,Sat Feb 03 09:15:55 +0000 2018,0.113,0.887,0.0,112
0.8591,Sat Feb 03 09:15:45 +0000 2018,0.099,0.546,0.355,113
-0.2263,Sat Feb 03 09:15:08 +0000 2018,0.163,0.707,0.131,114
0.8591,Sat Feb 03 09:14:58 +0000 2018,0.099,0.546,0.355,115
-0.6249,Sat Feb 03 09:14:46 +0000 2018,0.219,0.707,0.074,116
-0.5994,Sat Feb 03 09:14:40 +0000 2018,0.353,0.647,0.0,117
0.296,Sat Feb 03 09:14:04 +0000 2018,0.0,0.864,0.136,118
0.296,Sat Feb 03 09:13:55 +0000 2018,0.094,0.769,0.136,119
0.624,Sat Feb 03 09:13:53 +0000 2018,0.0,0.702,0.298,120
0.0,Sat Feb 03 09:13:22 +0000 2018,0.0,1.0,0.0,121
0.8591,Sat Feb 03 09:13:19 +0000 2018,0.099,0.546,0.355,122
-0.128,Sat Feb 03 09:13:12 +0000 2018,0.124,0.772,0.104,123
0.296,Sat Feb 03 09:12:58 +0000 2018,0.094,0.769,0.136,124
0.8442,Sat Feb 03 09:12:52 +0000 2018,0.0,0.569,0.431,125
