Compound,Date,Negative,Neutral,Positive,Tweets Ago
-0.2716,Sat Feb 03 08:56:07 +0000 2018,0.091,0.909,0.0,78
0.6369,Sat Feb 03 08:56:02 +0000 2018,0.0,0.802,0.198,79
-0.6124,Sat Feb 03 08:56:00 +0000 2018,0.228,0.725,0.047,80
0.0,Sat Feb 03 08:55:59 +0000 2018,0.0,1.0,0.0,81
-0.2716,Sat Feb 03 08:55:55 +0000 2018,0.091,0.909,0.0,82
-0.0772,Sat Feb 03 08:55:52 +0000 2018,0.071,0.929,0.0,83
-0.3182,Sat Feb 03 08:55:50 +0000 2018,0.084,0.916,0.0,84
0.0,Sat Feb 03 08:55:49 +0000 2018,0.0,1.0,0.0,85
0.0172,Sat Feb 03 08:55:48 +0000 2018,0.107,0.782,0.111,86
0.0,Sat Feb 03 08:55:47 +0000 2018,0.0,1.0,0.0,87
0.0,Sat Feb 03 08:55:45 +0000 2018,0.0,1.0,0.0,88
-0.7506,Sat Feb 03 08:55:45 +0000 2018,0.218,0.782,0.0,89
-0.34,Sat Feb 03 08:55:43 +0000 2018,0.118,0.882,0.0,90
0.0,Sat Feb 03 08:55:42 +0000 2018,0.0,1.0,0.0,91
-0.5859,Sat Feb 03 08:55:39 +0000 2018,0.174,0.826,0.0,92
-0.1779,Sat Feb 03 08:55:38 +0000 2018,0.195,0.805,0.0,93
-0.3818,Sat Feb 03 08:55:36 +0000 2018,0.106,0.894,0.0,94
0.0,Sat Feb 03 08:55:32 +0000 2018,0.0,1.0,0.0,95
-0.628,Sat Feb 03 08:55:31 +0000 2018,0.205,0.795,0.0,96
0.0,Sat Feb 03 08:55:30 +0000 2018,0.0,1.0,0.0,97
-0.5574,Sat Feb 03 08:55:29 +0000 2018,0.153,0.847,0.0,98
0.4019,Sat Feb 03 08:55:27 +0000 2018,0.0,0.903,0.097,99
0.0,Sat Feb 03 08:55:26 +0000 2018,0.0,1.0,0.0,100
-0.3182,Sat Feb 03 08:58:27 +0000 2018,0.084,0.916,0.0,101
0.4836,Sat Feb 03 08:58:24 +0000 2018,0.0,0.778,0.222,102
-0.296,Sat Feb 03 08:58:23 +0000 2018,0.109,0.891,0.0,103
0.0,Sat Feb 03 08:58:21 +0000 2018,0.0,1.0,0.0,104
-0.6249,Sat Feb 03 08:58:15 +0000 2018,0.141,0.859,0.0,105
-0.6808,Sat Feb 03 08:58:15 +0000 2018,0.223,0.777,0.0,106
-0.6249,Sat Feb 03 08:58:12 +0000 2018,0.141,0.859,0.0,107
0.0,Sat Feb 03 08:58:12 +0000 2018,0.0,1.0,0.0,108
-0.3818,Sat Feb 03 08:58:10 +0000 2018,0.106,0.894,0.0,109
0.0,Sat Feb 03 08:58:09 +0000 2018,0.0,1.0,0.0,110
-0.5574,Sat Feb 03 08:58:08 +0000 2018,0.205,0.795,0.0,111
0.3612,Sat Feb 03 08:58:04 +0000 2018,0.0,0.815,0.185,112
0.0,Sat Feb 03 08:58:04 +0000 2018,0.0,1.0,0.0,113
0.0,Sat Feb 03 08:58:03 +0000 2018,0.0,1.0,0.0,114
0.4404,Sat Feb 03 08:58:03 +0000 2018,0.0,0.861,0.139,115
0.0,Sat Feb 03 08:58:00 +0000 2018,0.0,1.0,0.0,116
0.0,Sat Feb 03 08:58:00 +0000 2018,0.0,1.0,0.0,117
0.354,Sat Feb 03 08:58:00 +0000 2018,0.139,0.567,0.294,118
-0.6249,Sat Feb 03 08:57:56 +0000 2018,0.141,0.859,0.0,119
0.0258,Sat Feb 03 08:57:56 +0000 2018,0.0,0.939,0.061,120
0.0,Sat Feb 03 08:57:55 +0000 2018,0.0,1.0,0.0,121
-0.7579,Sat Feb 03 08:57:51 +0000 2018,0.619,0.381,0.0,122
-0.1027,Sat Feb 03 08:57:51 +0000 2018,0.19,0.695,0.115,123
0.0,Sat Feb 03 08:57:49 +0000 2018,0.0,1.0,0.0,124
0.0,Sat Feb 03 08:57:48 +0000 2018,0.0,1.0,0.0,125
0.4019,Sat Feb 03 08:57:47 +0000 2018,0.0,0.903,0.097,126
0.0,Sat Feb 03 08:57:46 +0000 2018,0.0,1.0,0.0,127
0.0,Sat Feb 03 08:57:45 +0000 2018,0.0,1.0,0.0,128
-0.3182,Sat Feb 03 08:57:44 +0000 2018,0.084,0.916,0.0,129
0.0,Sat Feb 03 08:57:43 +0000 2018,0.0,1.0,0.0,130
0.0,Sat Feb 03 08:57:42 +0000 2018,0.0,1.0,0.0,131
0.4497,Sat Feb 03 08:57:41 +0000 2018,0.0,0.871,0.129,132
-0.926,Sat Feb 03 08:57:40 +0000 2018,0.342,0.658,0.0,133
0.4019,Sat Feb 03 08:57:40 +0000 2018,0.13,0.632,0.237,134
-0.3182,Sat Feb 03 08:57:37 +0000 2018,0.084,0.916,0.0,135
0.0,Sat Feb 03 08:57:37 +0000 2018,0.0,1.0,0.0,136
-0.4767,Sat Feb 03 08:57:35 +0000 2018,0.154,0.846,0.0,137
0.0,Sat Feb 03 08:57:27 +0000 2018,0.0,1.0,0.0,138
0.0,Sat Feb 03 08:57:24 +0000 2018,0.0,1.0,0.0,139
0.0,Sat Feb 03 08:57:24 +0000 2018,0.0,1.0,0.0,140
0.0,Sat Feb 03 08:57:22 +0000 2018,0.083,0.833,0.083,141
0.2381,Sat Feb 03 08:57:21 +0000 2018,0.079,0.794,0.127,142
0.0,Sat Feb 03 08:57:21 +0000 2018,0.0,1.0,0.0,143
0.0,Sat Feb 03 08:57:21 +0000 2018,0.0,1.0,0.0,144
-0.4215,Sat Feb 03 08:57:19 +0000 2018,0.149,0.764,0.087,145
0.6908,Sat Feb 03 08:57:16 +0000 2018,0.0,0.725,0.275,146
-0.2588,Sat Feb 03 08:57:10 +0000 2018,0.194,0.641,0.165,147
0.5473,Sat Feb 03 08:57:08 +0000 2018,0.0,0.828,0.172,148
0.4019,Sat Feb 03 08:57:08 +0000 2018,0.0,0.903,0.097,149
-0.9195,Sat Feb 03 08:57:07 +0000 2018,0.521,0.479,0.0,150
0.0,Sat Feb 03 08:57:06 +0000 2018,0.0,1.0,0.0,151
-0.2263,Sat Feb 03 08:57:04 +0000 2018,0.091,0.909,0.0,152
-0.8689,Sat Feb 03 08:57:03 +0000 2018,0.366,0.634,0.0,153
-0.6249,Sat Feb 03 08:57:03 +0000 2018,0.141,0.859,0.0,154
0.5423,Sat Feb 03 08:57:00 +0000 2018,0.0,0.837,0.163,155
0.0,Sat Feb 03 08:56:57 +0000 2018,0.0,1.0,0.0,156
-0.6948,Sat Feb 03 08:56:56 +0000 2018,0.192,0.808,0.0,157
-0.8114,Sat Feb 03 08:56:54 +0000 2018,0.293,0.637,0.07,158
0.0,Sat Feb 03 08:56:49 +0000 2018,0.0,1.0,0.0,159
-0.8126,Sat Feb 03 08:56:48 +0000 2018,0.316,0.684,0.0,160
0.6908,Sat Feb 03 08:56:47 +0000 2018,0.0,0.695,0.305,161
0.0,Sat Feb 03 08:56:47 +0000 2018,0.0,1.0,0.0,162
0.3612,Sat Feb 03 08:56:45 +0000 2018,0.0,0.878,0.122,163
-0.7506,Sat Feb 03 08:56:40 +0000 2018,0.218,0.782,0.0,164
0.3412,Sat Feb 03 08:56:39 +0000 2018,0.0,0.789,0.211,165
-0.34,Sat Feb 03 08:56:38 +0000 2018,0.211,0.789,0.0,166
-0.7506,Sat Feb 03 08:56:33 +0000 2018,0.218,0.782,0.0,167
0.0,Sat Feb 03 08:56:29 +0000 2018,0.0,1.0,0.0,168
-0.3753,Sat Feb 03 08:56:28 +0000 2018,0.114,0.886,0.0,169
0.0,Sat Feb 03 08:56:26 +0000 2018,0.0,1.0,0.0,170
-0.0772,Sat Feb 03 08:56:23 +0000 2018,0.064,0.936,0.0,171
0.7854,Sat Feb 03 08:56:21 +0000 2018,0.124,0.453,0.423,172
-0.5423,Sat Feb 03 08:56:19 +0000 2018,0.132,0.868,0.0,173
-0.5574,Sat Feb 03 08:56:10 +0000 2018,0.153,0.847,0.0,174
0.0,Sat Feb 03 08:56:09 +0000 2018,0.0,1.0,0.0,175
-0.7506,Sat Feb 03 08:56:08 +0000 2018,0.218,0.782,0.0,176
0.5719,Sat Feb 03 08:56:07 +0000 2018,0.0,0.213,0.787,177
-0.2716,Sat Feb 03 08:56:07 +0000 2018,0.091,0.909,0.0,178
0.6369,Sat Feb 03 08:56:02 +0000 2018,0.0,0.802,0.198,179
-0.6124,Sat Feb 03 08:56:00 +0000 2018,0.228,0.725,0.047,180
0.0,Sat Feb 03 08:55:59 +0000 2018,0.0,1.0,0.0,181
-0.2716,Sat Feb 03 08:55:55 +0000 2018,0.091,0.909,0.0,182
-0.0772,Sat Feb 03 08:55:52 +0000 2018,0.071,0.929,0.0,183
-0.3182,Sat Feb 03 08:55:50 +0000 2018,0.084,0.916,0.0,184
0.0,Sat Feb 03 08:55:49 +0000 2018,0.0,1.0,0.0,185
0.0172,Sat Feb 03 08:55:48 +0000 2018,0.107,0.782,0.111,186
0.0,Sat Feb 03 08:55:47 +0000 2018,0.0,1.0,0.0,187
0.0,Sat Feb 03 08:55:45 +0000 2018,0.0,1.0,0.0,188
-0.7506,Sat Feb 03 08:55:45 +0000 2018,0.218,0.782,0.0,189
-0.34,Sat Feb 03 08:55:43 +0000 2018,0.118,0.882,0.0,190
0.0,Sat Feb 03 08:55:42 +0000 2018,0.0,1.0,0.0,191
-0.5859,Sat Feb 03 08:55:39 +0000 2018,0.174,0.826,0.0,192
-0.1779,Sat Feb 03 08:55:38 +0000 2018,0.195,0.805,0.0,193
-0.3818,Sat Feb 03 08:55:36 +0000 2018,0.106,0.894,0.0,194
0.0,Sat Feb 03 08:55:32 +0000 2018,0.0,1.0,0.0,195
-0.628,Sat Feb 03 08:55:31 +0000 2018,0.205,0.795,0.0,196
0.0,Sat Feb 03 08:55:30 +0000 2018,0.0,1.0,0.0,197
-0.5574,Sat Feb 03 08:55:29 +0000 2018,0.153,0.847,0.0,198
0.4019,Sat Feb 03 08:55:27 +0000 2018,0.0,0.903,0.097,199
0.0,Sat Feb 03 08:55:26 +0000 2018,0.0,1.0,0.0,200
-0.7964,Sat Feb 03 08:58:31 +0000 2018,0.321,0.679,0.0,201
0.7579,Sat Feb 03 08:58:30 +0000 2018,0.0,0.755,0.245,202
-0.3182,Sat Feb 03 08:58:27 +0000 2018,0.084,0.916,0.0,203
0.4836,Sat Feb 03 08:58:24 +0000 2018,0.0,0.778,0.222,204
-0.296,Sat Feb 03 08:58:23 +0000 2018,0.109,0.891,0.0,205
0.0,Sat Feb 03 08:58:21 +0000 2018,0.0,1.0,0.0,206
-0.6249,Sat Feb 03 08:58:15 +0000 2018,0.141,0.859,0.0,207
-0.6808,Sat Feb 03 08:58:15 +0000 2018,0.223,0.777,0.0,208
-0.6249,Sat Feb 03 08:58:12 +0000 2018,0.141,0.859,0.0,209
0.0,Sat Feb 03 08:58:12 +0000 2018,0.0,1.0,0.0,210
-0.3818,Sat Feb 03 08:58:10 +0000 2018,0.106,0.894,0.0,211
0.0,Sat Feb 03 08:58:09 +0000 2018,0.0,1.0,0.0,212
-0.5574,Sat Feb 03 08:58:08 +0000 2018,0.205,0.795,0.0,213
0.3612,Sat Feb 03 08:58:04 +0000 2018,0.0,0.815,0.185,214
0.0,Sat Feb 03 08:58:04 +0000 2018,0.0,1.0,0.0,215
0.0,Sat Feb 03 08:58:03 +0000 2018,0.0,1.0,0.0,216
0.4404,Sat Feb 03 08:58:03 +0000 2018,0.0,0.861,0.139,217
0.0,Sat Feb 03 08:58:00 +0000 2018,0.0,1.0,0.0,218
0.0,Sat Feb 03 08:58:00 +0000 2018,0.0,1.0,0.0,219
0.354,Sat Feb 03 08:58:00 +0000 2018,0.139,0.567,0.294,220
-0.6249,Sat Feb 03 08:57:56 +0000 2018,0.141,0.859,0.0,221
0.0258,Sat Feb 03 08:57:56 +0000 2018,0.0,0.939,0.061,222
0.0,Sat Feb 03 08:57:55 +0000 2018,0.0,1.0,0.0,223
-0.7579,Sat Feb 03 08:57:51 +0000 2018,0.619,0.381,0.0,224
-0.1027,Sat Feb 03 08:57:51 +0000 2018,0.19,0.695,0.115,225
0.0,Sat Feb 03 08:57:49 +0000 2018,0.0,1.0,0.0,226
0.0,Sat Feb 03 08:57:48 +0000 2018,0.0,1.0,0.0,227
0.4019,Sat Feb 03 08:57:47 +0000 2018,0.0,0.903,0.097,228
0.0,Sat Feb 03 08:57:46 +0000 2018,0.0,1.0,0.0,229
0.0,Sat Feb 03 08:57:45 +0000 2018,0.0,1.0,0.0,230
-0.3182,Sat Feb 03 08:57:44 +0000 2018,0.084,0.916,0.0,231
0.0,Sat Feb 03 08:57:43 +0000 2018,0.0,1.0,0.0,232
