Compound,Date,Negative,Neutral,Positive,Tweets Ago
-0.3802,Sat Feb 03 08:57:04 +0000 2018,0.12,0.88,0.0,78
0.2263,Sat Feb 03 08:57:03 +0000 2018,0.0,0.913,0.087,79
0.0,Sat Feb 03 08:57:03 +0000 2018,0.0,1.0,0.0,80
0.0,Sat Feb 03 08:57:02 +0000 2018,0.0,1.0,0.0,81
0.0,Sat Feb 03 08:57:01 +0000 2018,0.0,1.0,0.0,82
0.0,Sat Feb 03 08:57:01 +0000 2018,0.0,1.0,0.0,83
0.4404,Sat Feb 03 08:57:01 +0000 2018,0.0,0.805,0.195,84
0.0,Sat Feb 03 08:56:57 +0000 2018,0.0,1.0,0.0,85
0.0,Sat Feb 03 08:56:57 +0000 2018,0.0,1.0,0.0,86
0.3818,Sat Feb 03 08:56:55 +0000 2018,0.0,0.874,0.126,87
0.0,Sat Feb 03 08:56:55 +0000 2018,0.0,1.0,0.0,88
0.0,Sat Feb 03 08:56:55 +0000 2018,0.0,1.0,0.0,89
-0.5719,Sat Feb 03 08:56:48 +0000 2018,0.198,0.802,0.0,90
0.0,Sat Feb 03 08:56:48 +0000 2018,0.0,1.0,0.0,91
0.0772,Sat Feb 03 08:56:48 +0000 2018,0.086,0.816,0.098,92
-0.296,Sat Feb 03 08:56:47 +0000 2018,0.095,0.905,0.0,93
0.0,Sat Feb 03 08:56:47 +0000 2018,0.0,1.0,0.0,94
-0.0516,Sat Feb 03 08:56:46 +0000 2018,0.148,0.714,0.138,95
-0.7555,Sat Feb 03 08:56:46 +0000 2018,0.276,0.724,0.0,96
-0.128,Sat Feb 03 08:56:44 +0000 2018,0.193,0.642,0.166,97
0.3182,Sat Feb 03 08:56:43 +0000 2018,0.0,0.897,0.103,98
0.0,Sat Feb 03 08:56:39 +0000 2018,0.0,1.0,0.0,99
0.128,Sat Feb 03 08:56:39 +0000 2018,0.088,0.803,0.108,100
-0.3818,Sat Feb 03 08:58:53 +0000 2018,0.191,0.809,0.0,101
-0.296,Sat Feb 03 08:58:52 +0000 2018,0.297,0.521,0.182,102
0.0,Sat Feb 03 08:58:52 +0000 2018,0.0,1.0,0.0,103
0.0,Sat Feb 03 08:58:48 +0000 2018,0.0,1.0,0.0,104
0.0,Sat Feb 03 08:58:46 +0000 2018,0.0,1.0,0.0,105
0.0,Sat Feb 03 08:58:39 +0000 2018,0.0,1.0,0.0,106
0.0,Sat Feb 03 08:58:36 +0000 2018,0.0,1.0,0.0,107
-0.6488,Sat Feb 03 08:58:35 +0000 2018,0.202,0.798,0.0,108
-0.6671,Sat Feb 03 08:58:35 +0000 2018,0.199,0.801,0.0,109
-0.5255,Sat Feb 03 08:58:35 +0000 2018,0.404,0.596,0.0,110
-0.34,Sat Feb 03 08:58:35 +0000 2018,0.124,0.876,0.0,111
-0.4767,Sat Feb 03 08:58:34 +0000 2018,0.341,0.659,0.0,112
0.0,Sat Feb 03 08:58:29 +0000 2018,0.0,1.0,0.0,113
-0.5719,Sat Feb 03 08:58:29 +0000 2018,0.198,0.802,0.0,114
0.7783,Sat Feb 03 08:58:27 +0000 2018,0.0,0.673,0.327,115
0.6361,Sat Feb 03 08:58:27 +0000 2018,0.172,0.487,0.341,116
0.0,Sat Feb 03 08:58:26 +0000 2018,0.0,1.0,0.0,117
0.0,Sat Feb 03 08:58:26 +0000 2018,0.0,1.0,0.0,118
0.0,Sat Feb 03 08:58:25 +0000 2018,0.0,1.0,0.0,119
0.2023,Sat Feb 03 08:58:24 +0000 2018,0.092,0.78,0.128,120
0.0,Sat Feb 03 08:58:22 +0000 2018,0.0,1.0,0.0,121
0.0,Sat Feb 03 08:58:20 +0000 2018,0.0,1.0,0.0,122
0.0772,Sat Feb 03 08:58:18 +0000 2018,0.086,0.816,0.098,123
0.0,Sat Feb 03 08:58:18 +0000 2018,0.0,1.0,0.0,124
-0.4939,Sat Feb 03 08:58:17 +0000 2018,0.186,0.814,0.0,125
0.0,Sat Feb 03 08:58:15 +0000 2018,0.0,1.0,0.0,126
-0.5719,Sat Feb 03 08:58:14 +0000 2018,0.198,0.802,0.0,127
0.4199,Sat Feb 03 08:58:12 +0000 2018,0.0,0.859,0.141,128
-0.8016,Sat Feb 03 08:58:07 +0000 2018,0.297,0.703,0.0,129
0.0,Sat Feb 03 08:58:06 +0000 2018,0.0,1.0,0.0,130
