Compound,Date,Negative,Neutral,Positive,Tweets Ago
-0.5994,Sat Feb 03 08:52:43 +0000 2018,0.214,0.786,0.0,78
-0.5994,Sat Feb 03 08:52:42 +0000 2018,0.214,0.786,0.0,79
-0.5574,Sat Feb 03 08:52:28 +0000 2018,0.159,0.841,0.0,80
-0.5574,Sat Feb 03 08:52:23 +0000 2018,0.184,0.816,0.0,81
0.0,Sat Feb 03 08:52:17 +0000 2018,0.0,1.0,0.0,82
0.0,Sat Feb 03 08:52:15 +0000 2018,0.0,1.0,0.0,83
0.0,Sat Feb 03 08:52:07 +0000 2018,0.0,1.0,0.0,84
-0.4767,Sat Feb 03 08:52:06 +0000 2018,0.147,0.853,0.0,85
0.0,Sat Feb 03 08:52:02 +0000 2018,0.0,1.0,0.0,86
-0.3818,Sat Feb 03 08:51:55 +0000 2018,0.098,0.902,0.0,87
-0.5994,Sat Feb 03 08:51:51 +0000 2018,0.214,0.786,0.0,88
-0.296,Sat Feb 03 08:51:48 +0000 2018,0.078,0.922,0.0,89
-0.5267,Sat Feb 03 08:51:47 +0000 2018,0.12,0.88,0.0,90
0.0,Sat Feb 03 08:51:36 +0000 2018,0.0,1.0,0.0,91
0.0516,Sat Feb 03 08:51:36 +0000 2018,0.239,0.507,0.254,92
0.0,Sat Feb 03 08:51:33 +0000 2018,0.0,1.0,0.0,93
0.0,Sat Feb 03 08:51:28 +0000 2018,0.0,1.0,0.0,94
0.0,Sat Feb 03 08:51:27 +0000 2018,0.0,1.0,0.0,95
-0.296,Sat Feb 03 08:51:26 +0000 2018,0.084,0.916,0.0,96
-0.7783,Sat Feb 03 08:51:15 +0000 2018,0.312,0.688,0.0,97
0.3535,Sat Feb 03 08:51:12 +0000 2018,0.0,0.817,0.183,98
0.6597,Sat Feb 03 08:51:09 +0000 2018,0.0,0.803,0.197,99
0.0,Sat Feb 03 08:51:03 +0000 2018,0.0,1.0,0.0,100
0.0772,Sat Feb 03 08:59:25 +0000 2018,0.0,0.915,0.085,101
0.0,Sat Feb 03 08:59:16 +0000 2018,0.0,1.0,0.0,102
0.0,Sat Feb 03 08:59:10 +0000 2018,0.0,1.0,0.0,103
0.0,Sat Feb 03 08:59:01 +0000 2018,0.0,1.0,0.0,104
0.0,Sat Feb 03 08:59:00 +0000 2018,0.0,1.0,0.0,105
0.8481,Sat Feb 03 08:58:52 +0000 2018,0.0,0.494,0.506,106
0.128,Sat Feb 03 08:58:52 +0000 2018,0.119,0.734,0.147,107
-0.8176,Sat Feb 03 08:58:40 +0000 2018,0.405,0.595,0.0,108
0.0,Sat Feb 03 08:58:21 +0000 2018,0.0,1.0,0.0,109
0.128,Sat Feb 03 08:58:17 +0000 2018,0.0,0.889,0.111,110
-0.6369,Sat Feb 03 08:58:14 +0000 2018,0.231,0.769,0.0,111
0.0,Sat Feb 03 08:58:11 +0000 2018,0.0,1.0,0.0,112
0.5106,Sat Feb 03 08:58:07 +0000 2018,0.0,0.87,0.13,113
0.7677,Sat Feb 03 08:58:06 +0000 2018,0.0,0.816,0.184,114
0.0,Sat Feb 03 08:58:03 +0000 2018,0.0,1.0,0.0,115
0.5859,Sat Feb 03 08:58:00 +0000 2018,0.0,0.853,0.147,116
0.6249,Sat Feb 03 08:58:00 +0000 2018,0.0,0.805,0.195,117
-0.3818,Sat Feb 03 08:57:40 +0000 2018,0.098,0.902,0.0,118
0.5859,Sat Feb 03 08:57:31 +0000 2018,0.0,0.853,0.147,119
0.0,Sat Feb 03 08:57:22 +0000 2018,0.0,1.0,0.0,120
-0.5574,Sat Feb 03 08:57:14 +0000 2018,0.184,0.816,0.0,121
0.0,Sat Feb 03 08:57:12 +0000 2018,0.0,1.0,0.0,122
0.0,Sat Feb 03 08:57:07 +0000 2018,0.0,1.0,0.0,123
